transaction_count,transaction_date,transaction_dow,transaction_year,transaction_month,transaction_quarter,transaction_week,transaction_doy,transaction_daynum,transaction_age,doy_avg,dow_avg,week_avg,month_avg,qt_avg
5500230,2013-09-23,1,2013,9,3,39,266,175,5 mons 22 days,15186718.500000000000,17280507.095890410959,15839369.888888888889,15877481.840909090909,14089389.022727272727
5696756,2013-09-25,3,2013,9,3,39,268,177,5 mons 24 days,15453880.000000000000,16523304.380281690141,15839369.888888888889,15877481.840909090909,14089389.022727272727
5703138,2013-09-26,4,2013,9,3,39,269,178,5 mons 25 days,15609270.000000000000,17245438.069444444444,15839369.888888888889,15877481.840909090909,14089389.022727272727
4602347,2013-09-28,6,2013,9,3,39,271,180,5 mons 27 days,12841966.000000000000,16582741.000000000000,15839369.888888888889,15877481.840909090909,14089389.022727272727
7168627,2013-10-01,2,2013,10,4,40,274,183,6 mons,18717107.500000000000,16805801.611111111111,16806504.888888888889,17978749.159090909091,20583008.810606060606
6306762,2013-10-02,3,2013,10,4,40,275,184,6 mons 1 day,16666450.500000000000,16523304.380281690141,16806504.888888888889,17978749.159090909091,20583008.810606060606
6920050,2013-10-03,4,2013,10,4,40,276,185,6 mons 2 days,17617615.500000000000,17245438.069444444444,16806504.888888888889,17978749.159090909091,20583008.810606060606
7213429,2013-10-04,5,2013,10,4,40,277,186,6 mons 3 days,17947348.000000000000,17438844.183098591549,16806504.888888888889,17978749.159090909091,20583008.810606060606
9361501,2013-10-06,7,2013,10,4,40,279,188,6 mons 5 days,22574277.500000000000,17050789.786666666667,16806504.888888888889,17978749.159090909091,20583008.810606060606
6350093,2013-10-07,1,2013,10,4,41,280,189,6 mons 6 days,17022868.500000000000,17280507.095890410959,18477310.916666666667,17978749.159090909091,20583008.810606060606
6411342,2013-10-08,2,2013,10,4,41,281,190,6 mons 7 days,16887157.000000000000,16805801.611111111111,18477310.916666666667,17978749.159090909091,20583008.810606060606
8312304,2013-10-09,3,2013,10,4,41,282,191,6 mons 8 days,20838490.500000000000,16523304.380281690141,18477310.916666666667,17978749.159090909091,20583008.810606060606
6262771,2013-10-10,4,2013,10,4,41,283,192,6 mons 9 days,16719366.500000000000,17245438.069444444444,18477310.916666666667,17978749.159090909091,20583008.810606060606
6699126,2013-10-12,6,2013,10,4,41,285,194,6 mons 11 days,18353340.000000000000,16582741.000000000000,18477310.916666666667,17978749.159090909091,20583008.810606060606
6298232,2013-10-13,7,2013,10,4,41,286,195,6 mons 12 days,17424979.000000000000,17050789.786666666667,18477310.916666666667,17978749.159090909091,20583008.810606060606
5808780,2013-10-15,2,2013,10,4,42,288,197,6 mons 14 days,15966969.500000000000,16805801.611111111111,18212756.100000000000,17978749.159090909091,20583008.810606060606
7449834,2013-10-16,3,2013,10,4,42,289,198,6 mons 15 days,20209983.000000000000,16523304.380281690141,18212756.100000000000,17978749.159090909091,20583008.810606060606
6269739,2013-10-18,5,2013,10,4,42,291,200,6 mons 17 days,17145052.500000000000,17438844.183098591549,18212756.100000000000,17978749.159090909091,20583008.810606060606
7878547,2013-10-19,6,2013,10,4,42,292,201,6 mons 18 days,20439230.000000000000,16582741.000000000000,18212756.100000000000,17978749.159090909091,20583008.810606060606
6053365,2013-10-20,7,2013,10,4,42,293,202,6 mons 19 days,17583943.000000000000,17050789.786666666667,18212756.100000000000,17978749.159090909091,20583008.810606060606
7668574,2013-10-21,1,2013,10,4,43,294,203,6 mons 20 days,20209763.500000000000,17280507.095890410959,18768339.454545454545,17978749.159090909091,20583008.810606060606
6125574,2013-10-22,2,2013,10,4,43,295,204,6 mons 21 days,16822206.500000000000,16805801.611111111111,18768339.454545454545,17978749.159090909091,20583008.810606060606
6179480,2013-10-23,3,2013,10,4,43,296,205,6 mons 22 days,16953114.000000000000,16523304.380281690141,18768339.454545454545,17978749.159090909091,20583008.810606060606
6281341,2013-10-25,5,2013,10,4,43,298,207,6 mons 24 days,17095424.000000000000,17438844.183098591549,18768339.454545454545,17978749.159090909091,20583008.810606060606
6403243,2013-10-26,6,2013,10,4,43,299,208,6 mons 25 days,17588098.500000000000,16582741.000000000000,18768339.454545454545,17978749.159090909091,20583008.810606060606
5225509,2013-10-28,1,2013,10,4,44,301,210,6 mons 27 days,14749696.500000000000,17280507.095890410959,16657847.571428571429,17978749.159090909091,20583008.810606060606
7876321,2013-11-01,5,2013,11,4,44,305,214,7 mons,20824721.500000000000,17438844.183098591549,16657847.571428571429,20252642.750000000000,20583008.810606060606
6971046,2013-11-02,6,2013,11,4,44,306,215,7 mons 1 day,18881975.000000000000,16582741.000000000000,16657847.571428571429,20252642.750000000000,20583008.810606060606
7692147,2013-11-03,7,2013,11,4,44,307,216,7 mons 2 days,19732662.500000000000,17050789.786666666667,16657847.571428571429,20252642.750000000000,20583008.810606060606
8063541,2013-11-04,1,2013,11,4,45,308,217,7 mons 3 days,20251958.000000000000,17280507.095890410959,21093334.916666666667,20252642.750000000000,20583008.810606060606
10148110,2013-11-06,3,2013,11,4,45,310,219,7 mons 5 days,25295614.500000000000,16523304.380281690141,21093334.916666666667,20252642.750000000000,20583008.810606060606
7087192,2013-11-07,4,2013,11,4,45,311,220,7 mons 6 days,19136565.500000000000,17245438.069444444444,21093334.916666666667,20252642.750000000000,20583008.810606060606
7126419,2013-11-08,5,2013,11,4,45,312,221,7 mons 7 days,19068900.000000000000,17438844.183098591549,21093334.916666666667,20252642.750000000000,20583008.810606060606
